Scenario,Robot,Robot Behavior,Vavg[1],Aavg[1],Javg[1],PLavg (avg) [1],PSC [2],DHmin avg [3]
Frontal Approach,HSR,Compliant,0.2962595384445593,0.7069477066849369,11.734697456372377,6.276202359511858,5.321196048035302,0.1597505048250645
Frontal Approach,HSR,Non-compliant,0.30674530635608227,0.7357195743513119,12.438214025021143,6.196206029258912,5.993467850130531,0.10442161531896443
Frontal Approach,Jackal,Compliant,0.8506253959042844,0.7107860426874942,10.717854122554906,8.173447225985296,0.43992002414932047,0.6564784683978956
Frontal Approach,Jackal,Non-compliant,0.8389138885611899,0.7166707937135264,10.622923792714182,7.62388556756606,7.163385917010015,0.1618883736469606
Pedestrian Obstruction,HSR,Compliant,0.2921794267354441,0.7072003201435885,11.820751350881313,6.708710251030738,14.77540525079894,0.3028934419406514
Pedestrian Obstruction,HSR,Non-compliant,0.30577915301217834,0.722194415221656,12.157474115611162,6.208797704480295,16.758893457583827,0.2725166501178221
Pedestrian Obstruction,Jackal,Compliant,0.6993015242102465,0.603358048345819,9.548696074802953,8.321611503944613,8.488444873645147,0.37672364789169954
Pedestrian Obstruction,Jackal,Non-compliant,0.666501013767755,0.5595769171212424,8.443075226144948,7.882381868518138,12.600838472271734,0.30574946900622557
Blind Corner,HSR,Compliant,0.2579675103353822,0.7004079583481025,11.764282818673806,5.448500674692341,9.675338520438766,0.23068841823889213
Blind Corner,HSR,Non-compliant,0.28929580845679603,0.7547584788660435,12.676405193148753,5.2533111568838216,7.828539918934002,0.22654856483219188
Blind Corner,Jackal,Compliant,0.8147222204344807,0.7046032766592278,10.797407281028148,9.549022336177037,6.52232310974637,0.33617532836965724
Blind Corner,Jackal,Non-compliant,0.8738668736470733,0.7460592014807785,11.484248667610958,8.234296251106526,6.769742668210646,0.2693537225433449
Perpendicular Crossing,HSR,Compliant,0.25073801137396995,0.6921978738954466,11.434885045132484,3.2110904941635945,5.964385924014406,0.4087312896565822
Perpendicular Crossing,HSR,Non-compliant,0.2665275612193894,0.6723035533208147,11.389804996385136,2.841916346412769,9.378601974696,0.3467981799161526
Perpendicular Crossing,Jackal,Compliant,0.5388084623039997,0.6660556297663237,7.831883565399341,3.8198435211130866,6.868620452087041,0.5099723598027175
Perpendicular Crossing,Jackal,Non-compliant,0.7188485298364562,0.7759617670242607,10.32520833479424,3.772353257267612,15.15445239252969,0.19466292247328593
Circular Crossing,HSR,Compliant,0.2792517707078525,0.7347576830962691,12.283283571156108,6.5381479161985006,10.698084094099704,0.21325536371641776
Circular Crossing,HSR,Non-compliant,0.3022138423742346,0.786651267911839,13.38413719398211,6.3716113454215115,13.073516751868954,0.1820140899776138
Circular Crossing,Jackal,Compliant,0.6868582262247631,0.6353709865527205,9.406464584908425,7.821254774751128,19.54855945874029,0.250950261453186
Circular Crossing,Jackal,Non-compliant,0.889183846807095,0.7257557651081238,11.239151286811621,8.19002989686615,19.78817556341331,0.19368301366066198
